trailId,chilangoId,from,to,headSign,routeName,recordDate,recordTime,recordDuration,vehicleTipo,tarifMax,longKmvirtualRoute,edges
5730902646718464,308,TASQUEÃA (METRO),COPILCO (METRO),TASQUEÃA (METRO)-COPILCO (METRO),TASQUEÃA (METRO)-COPILCO (METRO),13-02-2016,22:21,23.0,AutobÃºs,4.0,5.24315296809,false,->17821->8849->8391->9275->17937->17810->20618->27299->10271->16663->3142->6730->17821->8849->8391->30597->27299->10271->16663->3142->6730->17821->8849->8391->30597->27299->10271->16663->3142->6730->17821->8849->7063->7960->27454->6379->29076->22644->3945->3939->22240->22636->30943->30977->16085->13732->16068->17453->25281->20131->1170->17328->9371->379->9208->27519->8555->8862->2940->12035->30511->16661->16660->27185->23899->4040->18927->18901->4007->14854->14670->18567->25150->25149->29070->27021->27204->27180->27186->30987->18483->18508->18899->26290->27133->18509->18906->18887->18489->26323->26587->18478->18481->18883->18863->18884->11906->8534->16862->20863->18917->30718->16695->14702->8489
5179702985621504,368,CETRAM UNIVERSIDAD,2 DE OCTUBRE,CETRAM UNIVERSIDAD-2 DE OCTUBRE,CETRAM UNIVERSIDAD-2 DE OCTUBRE,26-02-2016,16:32,35.0,AutobÃºs,5.5,11.2239687269,false,->4582->14297->17382->28397->21270->24714->10815->17081->21362->21353->17898->14360->17527->17032->3297->9497->15427->22462->28791->28684->10562->28496->20212->26244->16070->27871->20634->21860->22233->24909->12944->24353->24346->27973->23982->23053->5150->18463->8022->8024->16674->20846->85->3748->18003->21853->21960->9004->8567->20260->20676->20797->15851->20317->3304->15997->15990->1248->1413->27800->14654->27810->2627->2631->15784->15786->17192->7470->26363->30282->30283->30286->30288->567->21111->18121->16215->16537->30103->29901->29710->29458->29355->29252->31138->1702->1701->17931->13091->1380->13582->11208->13680->18893->1697->30482->14116->14117->30483->20983->25094->20734
6201691737161728,466,MEXICALTZINGO (METRO),BILBAO,MEXICALTZINGO (METRO)-BILBAO,MEXICALTZINGO (METRO)-BILBAO,01-02-2016,21:45,29.0,AutobÃºs,5.0,6.25875054299,false,->1098->1494->15583->24956->27147->14168->14350->14344->20496->7746->24634->10490->10486->27634->27638->10518->10515->10524->10512->10591->8248->10988->16994->23567->741->17763->5462->5495->5525->12326->29895->19901->23573->11541->11493->21737->26204->16999->18348->27522->8486->28049->1997->18948->28059->10450->28105->28084->28122->8771->8840->30963->5474->30919->1438->14341->14331->30903->22320->849->14318->30058->30028->1396->30022->24015->24018->24008->14233->1414->982->6614->6610->6584->24857->23702->23687->13613->11800
5912398636515328,90,REAL DEL BOSQUE,EL ROSARIO (METRO),REAL DEL BOSQUE-EL ROSARIO (METRO),REAL DEL BOSQUE-EL ROSARIO (METRO),26-02-2016,16:34,103.0,AutobÃºs,12.0,25.3777805048,false,->21332->21449->21659->16044->15993->21935->22003->22072->22150->22169->22128->22186->22281->22438->22421->22445->17677->27572->7053->6508->10206->30305->30306->10207->20119->20102->20100->11078->14277->6190->21169->21089->21185->22275->22259->23197->23191->16497->15907->18700->16755->23159->23156->23155->16816->16830->16829->16839->23141->23136->21168->16761->14419->14808->25691->25479->22312->30898->30900->20537->12741->12752->26387->29123->23913->29478->27648->26334->13995->2227->27040->26360->1780->25768->15082->8814->15749->20149->15208->6681->6741->27312->30990->501->10630->9707->5201->22501->5589->27120->23104->26904->4017->3771->17870->18633->18296->30654->27312->30990->501->10630->9707->5201->22501->5589->27120->23104->26904->4017->3771->17870->18633->18296->30654->27312->30990->501->10630->9731->1219->28309->12214->12525->6933->11997->10272->10264->12639->21170->644->14420->17235->17211->23601->11334->10397->12245->12246->12197->12216->12215->23857->29872->21720->8362->3729->3771->17870->17916->26278->21165->12625->21192->632->17282->16336->16790->16290->24178->9366->17553->26644->12264->27659->29200->21114->21072->26644->12264->27659->27677->6997->10508->5716->30374->30360->30377->30375->24319->11636->30043->18266->4266->9517->11637->28146->24334->24235->24234->24583->30008->25952->7216->7287->3032->3002->4598->11263->1569->4411->21217->17334->26527->21395->8262->17289->26685->21976->21994->26681->26546->14332->7580->4103->30876->21013->26134->6082->6048->6158->16568->18853->5490->223->284->464->10177->6765->29257->4980->643->642->648->646->616->25158
5956256602783744,281,PARQUE MÃXICO,UNIDAD EL ROSARIO BACHILLERES,PARQUE MÃXICO-UNIDAD EL ROSARIO BACHILLERES,PARQUE MÃXICO-UNIDAD EL ROSARIO BACHILLERES,12-02-2016,01:18,87.0,MicrobÃºs,5.5,12.8956685633,false,->10613->16198->7949->24959->11074->8907->13848->13852->8668->1321->1324->10862->14175->23309->29262->15821->20805->19606->27551->16523->14437->14439->156->3367->951->21369->19328->23817->23980->10409->29761->16128->16116->28115->30940->18612->13829->19864->26259->3010->1255->9141->23733->20874->20859->14489->17013->23695->10872->478->496->10847->8057->8059->486->4613->31023->19101->30463->3204->3131->3230->3138->4571->4252->4254->25687->4225->20012->10740->18500->19250->16508->28407->30897->4374->4026->7728->19039->2064->13174->5229->5230->5214->13169->11672->3070->7034->23064->3342->6961->26402->10032->9755->9314->10030->7969->7967->7883->4729->26685->21976->21994->26681->26546->14332->7580->4103->13720
5658343242727424,168,PLAZA ARAGON,PANTEON LOS ROSALES,PLAZA ARAGON-PANTEON LOS ROSALES,PLAZA ARAGON-PANTEON LOS ROSALES,08-02-2016,02:47,88.0,Vagoneta/Combi,13.0,26.4211049029,false,->21781->31115->29609->22337->6223->27802->10750->15585->25790->30205->4580->11602->30411->13014->27686->3203->30791->6541->17048->17045->14953->824->14811->23256->17618->13334->2477->7713->5332->2901->14500->22432->14498->19665->13421->17126->16279->16276->24309->20366->12662->2080->27917->5096->28776->6985->19683->27479->23272->27018->28014->27984->25670->21563->7915->28238->23091->9842->9832->9835->11333->12646->1868->3662->29454->28776->6985->19683->27479->23272->27018->28014->27984->25670->21563->7915->28238->23091->9842->9832->9835->9838->23097->23094->23096->23102->30137->22567->21608->10499->16681->25816->6551->18995->18563->7950->10458->29969->21623->12804->28952->28628->24456->7119->27611->5333->5678->5675->5672->5684->5682->5681->5691->5689->5699->3127->15724->1574->1579->1570->1453->30072->30065->30108->30164->30161->30158->30091->30038->30045->30092->30068->29979->29982->29956->30455->29980->30033->6856->14562->23926->23909->23836->12251->30706->2598->15289->27649->23013->29433->29418->3236->3235->4738->11054->12562->15155->12565->12564->15165->17093->3528->16097->14185->15195->15205->15197->6929->5481->13266->13352->13082->29831->8786->30083->12643->12353->12062->5198->8237->2062->2042->2037->10482->6180->9605->9603->9592->3645->3680->6070->6072->16058->8791->8793->2318->19168->19205->19196->18954->16014->30833->17305->17262->17277->17265->17481->17493->17542->17673->30935->16319->19368->23392->15117->2021->8797->664->9315->9304->12->9596->9713->9710->5939->5930->6033->6449->6392->6396->5875->9214->8673->4361->4102->4071->4072->17720->26203->14488->28518->28560->28545->28512->20995->14394->14830->15044->21001->26824->26847->27009->27440->27602->27603->27604->27892->27887->22088->23210->25831->4177->4187->25128->25140->4146->4142->4129->4110->4114->4098->4068->4349->4345->16027->16627->24693->24682->24671->6312->6311->6300->6299->22705->5082->5081->5079->5092->5091->5064->5056->7392->7386->10778->26372->17036->8424->8426->8399->8403->22793->22308->22314->26686->26910->22967->23112->8414->8243->8310->2022->17951->17952->30395->25937->25907->26449->25959
5414415767699456,193,GRANJAS NAVIDAD,TACUBAYA (METRO),GRANJAS NAVIDAD-TACUBAYA (METRO),GRANJAS NAVIDAD-TACUBAYA (METRO),14-02-2016,23:54,31.0,AutobÃºs,6.0,12.931992934,false,->2127->11626->11594->2102->13302->13312->8874->30468->707->9130->2154->429->28592->28444->12980->8933->26418->26414->28586->28605->8957->11911->19365->25707->25706->7200->22266->17924->22279->7283->3665->3503->26445->16525->25839->14475->20644->19838->15214->12275->10587->30668->28354->25451->21160->23854->26537->26536->26539->26895->19252->15455->15339->23789->23257->30983->28542->11301->24172->6735->26020->556->5037->6727->1903->2569->2543->30528->5918->15752->16166->16139->25436->1115->30526->15505->22046->22043->14349
6414806135341056,252,PANTITLÃÂN (METRO),ESPERANZA KM 14,PANTITLÃÂN (METRO)-ESPERANZA KM 14,PANTITLÃÂN (METRO)-ESPERANZA KM 14,02-02-2016,00:53,34.0,Vagoneta/Combi,8.0,11.1904956339,false,->2873->2358->6092->19965->7653->21730->7010->13348->1923->3357->1911->13171->2871->3411->3387->2856->2859->514->3376->3374->510->472->2841->12280->13479->2147->3369->12846->13293->12837->2396->3405->520->1716->27649->23013->29433->29418->3236->3235->4738->11054->12562->15155->12565->12564->15165->17093->3528->16097->14185->15195->15205->15197->6929->5481->13266->13352->13082->29831->8786->30083->12643->12353->12062->5198->8237->2062->2042->2037->10482->6180->9605->9603->9592->3645->3680->6070->6072->16058->8791->8793->2318->19168->19205->19196->18954->16014->30833->17305->17262->17277->17265->17481->17493->17542->17673->30935->16319->19368->23392->15117->2021->8797->664->9315->9304->12->9596->9713->9710->5939->5930->6033->6449->6392->6396->5875->9214->8673->4361->4102->4071->4072->17720->26203->14488->28518->28560->28545->28512->20995->14394->14830->15044->21001->26824->26847->27009->27440->27602->27603->27604->27892->27887->22088->23210->25831->4177->4187->25128->25140->4146->4142->4129->4110->4114->4098->4068->4349->4345->16027->16627->24693->24682->24671->6312->6311->6300->6299->22705->5082->5081->5079->5092->5091->5064->5056->7392->7386->10778->26372->17036->8424->8426->8399->8403->22793->22308->22314->26686->26910->22967
5998518527328256,446,DIVISIÃN DEL NORTE ESPARTACO,CHAPULTEPEC (METRO),DIVISIÃN DEL NORTE ESPARTACO-CHAPULTEPEC (METRO),DIVISIÃN DEL NORTE ESPARTACO-CHAPULTEPEC (METRO),30-01-2016,18:57,69.0,AutobÃºs,5.5,10.9714463408,false,->2842->4488->23882->24644->24652->21062->25429->15282->15286->18336->27858->27696->22909->3612->6519->17453->25281->11868->4762->6050->22077->27427->302->315->25778->14668->14908->25737->7362->23093->14174->16298->7935->25808->7082->18652->13789->8430->28186->2510->2533->7451->2369->15147->7027->23654->3890->15759->29178->5002->18984->23376->14378->2530->18873->18876->29094->29142->28712->20147->19099->19140->24489->1810->19774->23612->860->26742->1696->14502->180->29815->29768->29713->15252->19177->20121->25745->5450->18674->691->18974->316->29362->26823->24762->6547->16693->1606->3451->24648->13542->5126->23198->28678->4327->18997->30671->23221->22558->12355->17650->9362->28331->19043->2446->18177->18245->25935->12138->30298->25588->7281->21749->21753->7280->7278->30169->20215->8682->7927->7520->24672
4503846730596352,314,HOTEL DE MÃXICO,SANTA FE,HOTEL DE MÃXICO-SANTA FE,HOTEL DE MÃXICO-SANTA FE,15-02-2016,00:48,54.0,AutobÃºs,6.0,12.4625717939,false,->18071->13642->11567->29702->14942->27727->22315->20611->28101->2823->21024->12256->12257->20556->2009->3658->1042->342->8302->1769->3692->16977->15335->25838->9213->4384->9555->2893->22766->12211->2708->19932->14601->20068->16565->1060->1057->7017->16837->28891->10945->10138->30199->24111->28301->13994->14006->14015->14009->10216->26332->16443->5549->5554->5550->11369->13136->29600->29597->14359->18707->18692->12268->12255->863->24000->24005->25541->20433->25440->24010->24003->24104->142->23466->22120->19474->16437->23477->23479->23493->23485->23461->23452->5008->5121->5100->18709->4337->709->19438->15523->18349->10190->17238->5070->2778->4018->3911->3906->18314->29289->27304->10555->21360->7816->7191->24896->26919->26817->4021->18634->21341->21342->21288->7173->27012->27087->7268->7270->19047->15077->2453->1317->2250->2086->28279->28818->3738->28409->28178->21965->21862->28836->27509->10244->8560->11045->21448->12090->7676->9221->8767->17660->28279->28818->3738->28409->28178->21965->21862->28836->27509->10244->8560->11045->21448->12090->7676->9221->8767->17660->28279->28818->3738->28409->28178->21965->21862->28836->27509->10244->8560->11045->21448->12090->7676->9221->192->10947->10223->2762->9147->30293->9623->26740->11183->14276->19623->7107->20114->19085->25184
